T_rad,<Qem>/a,<Qabs>/a,<Qpr>/a
1.00E+01,1.27E-03,1.27E-03,1.27E-03
1.26E+01,2.02E-03,2.02E-03,2.02E-03
1.59E+01,3.24E-03,3.24E-03,3.24E-03
2.00E+01,5.21E-03,5.21E-03,5.24E-03
2.51E+01,8.45E-03,8.45E-03,8.50E-03
3.16E+01,1.38E-02,1.38E-02,1.38E-02
3.98E+01,2.26E-02,2.26E-02,2.27E-02
5.01E+01,3.70E-02,3.70E-02,3.73E-02
6.31E+01,6.06E-02,6.06E-02,6.14E-02
7.94E+01,9.73E-02,9.73E-02,9.88E-02
1.00E+02,1.50E-01,1.50E-01,1.54E-01
1.26E+02,2.20E-01,2.20E-01,2.29E-01
1.59E+02,3.06E-01,3.06E-01,3.21E-01
2.00E+02,4.02E-01,4.02E-01,4.29E-01
2.51E+02,4.86E-01,4.86E-01,5.37E-01
3.16E+02,5.26E-01,5.26E-01,6.08E-01
3.98E+02,5.12E-01,5.12E-01,6.21E-01
5.01E+02,4.65E-01,4.65E-01,6.24E-01
6.31E+02,4.13E-01,4.13E-01,6.96E-01
7.94E+02,3.82E-01,3.82E-01,8.12E-01
1.00E+03,3.79E-01,3.79E-01,9.25E-01
1.26E+03,4.06E-01,4.06E-01,1.09E+00
1.59E+03,0.00E+00,4.54E-01,1.24E+00
2.00E+03,0.00E+00,5.17E-01,1.31E+00
2.51E+03,0.00E+00,5.87E-01,1.37E+00
3.16E+03,0.00E+00,6.55E-01,1.34E+00
3.98E+03,0.00E+00,7.18E-01,1.31E+00
5.01E+03,0.00E+00,7.74E-01,1.26E+00
6.31E+03,0.00E+00,8.22E-01,1.22E+00
7.94E+03,0.00E+00,8.62E-01,1.18E+00
1.00E+04,0.00E+00,8.94E-01,1.15E+00
1.26E+04,0.00E+00,9.15E-01,1.12E+00
1.59E+04,0.00E+00,9.24E-01,1.11E+00
2.00E+04,0.00E+00,9.21E-01,1.09E+00
2.51E+04,0.00E+00,9.07E-01,1.07E+00
3.16E+04,0.00E+00,8.87E-01,1.05E+00
3.98E+04,0.00E+00,8.69E-01,1.03E+00
5.01E+04,0.00E+00,8.58E-01,1.01E+00
